Image Name,PSNR,SSIM
low00690.png,16.1307,0.8137
low00691.png,16.0659,0.7804
low00692.png,14.9193,0.7923
low00693.png,15.0853,0.7961
low00694.png,13.8743,0.7661
low00695.png,13.8541,0.7655
low00696.png,13.7790,0.7024
low00697.png,13.7592,0.6970
low00698.png,13.7903,0.7496
low00699.png,13.7765,0.7322
low00700.png,19.0661,0.8186
low00701.png,19.1272,0.8280
low00702.png,10.1617,0.6511
low00703.png,10.1447,0.6490
low00704.png,10.1280,0.6474
low00705.png,10.3063,0.6160
low00706.png,10.3877,0.6108
low00707.png,10.2983,0.6158
low00708.png,16.1671,0.8277
low00709.png,16.3796,0.8353
low00710.png,13.7792,0.8555
low00711.png,13.7804,0.8553
low00712.png,13.1221,0.8526
low00713.png,13.1612,0.8525
low00714.png,22.0360,0.8786
low00715.png,22.0503,0.8847
low00716.png,17.9686,0.8865
low00717.png,13.2580,0.7231
low00718.png,17.1957,0.8624
low00719.png,17.2339,0.8662
low00720.png,25.6011,0.8830
low00721.png,25.4225,0.8869
low00722.png,19.6499,0.8645
low00723.png,19.2795,0.8605
low00724.png,24.6194,0.8349
low00725.png,24.5316,0.8562
low00726.png,22.2813,0.9160
low00727.png,22.2106,0.9109
low00728.png,21.7181,0.8434
low00729.png,22.3103,0.9075
low00730.png,22.2769,0.9114
low00731.png,22.0199,0.8792
low00732.png,22.0446,0.8801
low00733.png,24.3536,0.9078
low00734.png,24.3850,0.9084
low00735.png,21.0717,0.8404
low00736.png,21.1077,0.8503
low00737.png,21.9255,0.8565
low00738.png,21.8035,0.8621
low00739.png,14.3100,0.7803
low00740.png,14.2742,0.7771
low00741.png,20.6300,0.8727
low00742.png,13.6025,0.6732
low00743.png,20.8684,0.8749
low00744.png,19.0893,0.8328
low00745.png,17.0137,0.7951
low00746.png,16.8414,0.7793
low00747.png,21.9943,0.8819
low00748.png,22.1381,0.8906
low00749.png,17.9239,0.8347
low00750.png,17.5211,0.8112
low00751.png,19.5425,0.8616
low00752.png,20.0832,0.8689
low00753.png,26.0728,0.8956
low00754.png,26.0326,0.8967
low00755.png,20.4282,0.8395
low00756.png,20.3075,0.8306
low00757.png,15.3136,0.7794
low00758.png,16.1409,0.7914
low00759.png,22.2273,0.8552
low00760.png,22.6888,0.8949
low00761.png,20.6176,0.9043
low00762.png,20.4980,0.9027
low00763.png,26.8073,0.9069
low00764.png,25.5614,0.9130
low00765.png,21.9491,0.8411
low00766.png,22.1109,0.8542
low00767.png,15.1072,0.7533
low00768.png,15.9487,0.7354
low00769.png,25.2197,0.9039
low00770.png,25.0428,0.9023
low00771.png,22.9943,0.6788
low00772.png,23.9363,0.7668
low00773.png,15.6740,0.7673
low00774.png,15.4606,0.7716
low00775.png,20.0091,0.8381
low00776.png,19.8594,0.8402
low00777.png,16.6043,0.7209
low00778.png,16.3344,0.7203
low00779.png,24.6679,0.9044
low00780.png,24.6200,0.9047
low00781.png,16.9805,0.8181
low00782.png,17.0589,0.8385
low00783.png,17.0332,0.8383
low00784.png,13.2408,0.6135
low00785.png,13.2157,0.6070
low00786.png,13.2257,0.6161
low00787.png,16.1055,0.6195
low00788.png,15.8819,0.6060
low00789.png,15.9032,0.6082

Average,18.5211,0.8089
